순위,제목,가수,앨범
1,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
2,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
3,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
4,매일 크리스마스 (Everyday Christmas),다비치,매일 크리스마스 (Everyday Christmas)
5,ELEVEN,IVE (아이브),ELEVEN
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
7,눈 (Prod. by VAN.C),빈첸 & 오반 & 박재정 & 피아노맨 & 임수,눈 (Prod. by VAN.C)
8,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식,쇼미더머니 10 Episode 3
9,취중고백,김민석 (멜로망스),취중고백
10,Still I Love You,토요태,Still I Love You
11,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
12,strawberry moon,아이유 (IU),strawberry moon
13,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
14,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
15,눈이 오잖아 (Feat. 헤이즈),이무진,눈이 오잖아
16,문득,BE'O (비오),Bipolar
17,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
18,흰눈,먼데이 키즈 (Monday Kiz),흰눈
19,신호등,이무진,신호등
20,12월 그날,케이윌 (K.Will),12월 그날
21,Stay,The Kid LAROI & Justin Bieber,Stay
22,Santa Tell Me,Ariana Grande,Santa Tell Me
23,Wake Up (Prod. by 코드 쿤스트),개코 & 아우릴고트 (OUREALGOAT) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
24,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
25,크리스마스니까,성시경 & 박효신 & 이석훈 & 서인국 & VIXX (빅스),Jelly Christmas 2012 HEART PROJECT
26,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),REAL
27,Savage,aespa,Savage - The 1st Mini Album
28,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
29,Next Level,aespa,Next Level
30,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
31,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
